město;nazev;datum
Bílina;Smlouva o poskytnutí neinvestiční dotace – „SanDoMon Bílina“ z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – SHOTOKAN KARATE-DO MASOPUST BÍLINA, z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – SK Bílina z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – SK FAVORIT Bílina z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – Sportovní klub KRASO Bílina z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace -  Sportovní kuželkářský klub Bílina, z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – Tělocvičná jednota Sokol Bílina;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – Atletický klub Bílina;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – ČSS, z.s. – sportovně střelecký klub Bílina;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – Draci Bílina, z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – Fotbalový klub, z.s.;2024-04-29
Bílina;Smlouva o poskytnutí neinvestiční dotace – Klub rybolovné techniky Bílina z.s.;2024-04-29
Bílina;Pozvánka na první zasedání okrskových volebních komisí;2024-04-30
Bílina;DAŇ Z NEMOVITÝCH VĚCÍ NA ROK 2024 - hromadný předpisný seznam;2024-04-30
Bílina;Dražební vyhláška - Justrová Alice, movité věci;2024-04-30
Bílina;zveřejnění záměru pronájmu prostoru sloužícího podnikání na adrese Bílina Sídliště Za Chlumem čp. 820 (prostor po bývalé pobočce České pošty);2024-05-09
Bílina;Zvěřejnění záměru VÝPŮJČKY  pavilon 1 Teplická 918;2024-05-09
Bílina;Dražební vyhláška - nemovitost, Machová Jana a Jiřina;2024-05-13
Bílina;Opatření obecné povahy - dopravní značení, v Bílině, ul. Kyselská, most ev. č. 14-60c-M1;2024-05-14
Bílina;Oznámení o nálezu č.6;2024-05-15
Bílina;Výběrové řízení na pracovní pozici „ELEKTRIKÁŘ“;2024-05-16
Bílina;AUKČNÍ VYHLÁŠKA č. EAS/UTP/051/2024;2024-05-16
Bílina;Dražební vyhláška - spoluvlastnický podíl povinné o velikosti 1/2 na nemovité věci, Marešová Magdalena;2024-05-16
Bílina;Opatření obecné povahy - přechodné dopravní značení, Bílina, ul. Sídliště Za Chlumem, na parkovišti u KD;2024-05-16
Bílina;Opatření obecné povahy - přechodné dopravní značení, v Hostomicích, ul. Havlíčkova, na silnici č. III/25326, na částech p. p. č. 246/9, v k. ú. Hostomice nad Bílinou;2024-05-16
Bílina;Telefonní spojení do volebních místností;2024-05-20
Bílina;Oznámení o době a místě konání voleb do Evropského parlamentu;2024-05-20
Bílina;Oznámení o nálezu č. 7;2024-05-20
Bílina;Zveřejnění záměru pronájmu nemovitostí- Pronájem části pozemku p. č. 1636/94;2024-05-20
Bílina;Opatření obecné povahy - přechodné dopravní značení, Bílina, ul. Mládežnická, u č. p. 406;2024-05-21
Bílina;Výběrové řízení na pracovní pozici „řidič motorových vozidel“;2024-05-21
Bílina;MTS Bílina hledají dělníka na komunikacích;2024-05-21
Bílina;Výběrové řízení na obsazení funkce Ředitel/ka Městské policie Bílina;2024-05-22
Bílina;Veřejnou výzvu na obsazení funkce Vedoucí oddělení investic;2024-05-22
Bílina;Smlouva o poskytnutí neinvestiční dotace - Podkrušnohorské gymnázium, Most, příspěvková organizace;2024-05-22
Bílina;Výběrové řízení na obsazení funkce Kurátor pro děti a mládež II;2024-05-23
Bílina;Opatření obecné povahy - přechodné dopravní značení, Bílina, ul. Pražská, před č. p. 140/30;2024-05-24
Bílina;Opatření obecné povahy - přechodné dopravní značení, Bílina, ul. Seifertova, u č. p. 3;2024-05-24
Bílina;Zveřejnění záměru pronájmu nemovitostí - Adresný záměr pronájmu části pozemku p. č. 2093/3;2024-05-24
Domažlice;VEŘEJNÁ VYHLÁŠKA - ULOŽENÁ PÍSEMNOST - BUDAI;2008-02-18
Domažlice;VEŘEJNÁ VYHLÁŠKA - ULOŽENÁ PÍSEMNOST - HORVÁTH JULIUS;2008-02-18
Domažlice;Oznámení záměru města pronajmout nemovitý majetek 91/2011;2012-04-02
Domažlice;Oznámení o uložení zásilek - evidenční adresa nám. Míru 1;2016-03-21
Domažlice;Smlouva o poskytnutí dotace Plzeňskému kraji na dopravní obslužnost;2016-05-02
Domažlice;Oznámení záměru města pronajmout hmotnou nemovitou věc 10/2017 - část pozemku v k.ú. DO - stánek;2017-02-17
Domažlice;Oznámení záměru města pronajmout/propachtovat hmotné nemovité věci 20/2019 - k. ú. Domažlice;2019-06-27
Domažlice;Oznámení záměru města pronajmout/propachtovat hmotnou nemovitou věc - pozemky a kůlny u BD;2019-05-17
Domažlice;Aktualizovaný seznam NV k 1. 8. 2019 (B-K);2019-08-20
Domažlice;Oznámení záměru města pronajmout hmotnou nemovitou věc 36/2019 - část poz. v k.ú. DO - dobíjecí stan;2019-10-14
Domažlice;Záměr města pronajmout/propachtovat hmotnou nemovitou věc č.22/2020 - kůlna ve Vojtěchově ul. v DO;2020-05-15
Domažlice;Záměr města propachtovat hmotnou nemovitou věc č. 1/2021 - pozemek k. ú. Domažlice;2021-01-21
Domažlice;Nález č. 5/2021;2021-01-27
Domažlice;Nález č. 6/2021;2021-01-27
Domažlice;Sdělení -  funkce pověřence pro ochranu osobních údajů od 1.4.2021;2021-03-31
Domažlice;Záměr města prodat hmotnou nemovitou věc č. 15/2021 - BD Kozinovo pole;2021-05-28
Domažlice;Záměr města propachtovat/pronajmout hmotnou nemovitou věc č. 36/2021 - k. ú. Havlovice u Domažlic;2021-09-08
Domažlice;Záměr města prodat hmotnou nemovitou věc č. 24/2022 - části pozemků v k. ú. Bořice u DO;2022-07-01
Domažlice;Záměr města prodat hmotnou nemovitou věc č. 42/2022 - pozemky v k. ú. Domažlice;2022-11-25
Domažlice;Záměr města pronajmout hmotnou nemovitou věc č.14/2023 - nebyt. prostor v čp. 117 v Petrovické ul.;2023-06-16
Domažlice;DSO Povodí Berounky - Závěrečný účet za rok 2022 a Schválený závěrečný účet za rok 2022;2023-06-27
Domažlice;Oznámení o schválení Střednědobého výhledu rozpočtu na r. 2023-2025;2023-07-03
Domažlice;Oznámení o schválení Závěrečného účtu města Domažlice za rok 2022;2023-07-03
Domažlice;Oznámení o schválení aktualizovaného střednědobého výhledu města Domažlice na r. 2024-2025;2023-09-05
Domažlice;Schválený rozpočet DSO Povodí Berounky na rok 2024 a rozpočtový výhled do roku 2026;2023-12-07
Domažlice;Rozpočet Vodohospodářského svazku obcí Domažlicka na rok 2024;2023-12-18
Domažlice;Reprezentace mesta mladez do 19 let 2024;2023-12-21
Domažlice;Reprezentace mest dospelych sport a telovychova 2024;2023-12-21
Domažlice;Oznámení o schváleném rozpočtu města Domažlice na rok 2024;2024-01-08
Domažlice;Oznámení - schválená rozpočtová opatření města Domažlice za leden 2024;2024-02-09
Domažlice;Výroční zpráva o činnosti města Domažlice v oblasti poskytování informací za rok 2023;2024-02-21
Domažlice;"Program pro poskytování dotací - ""Publikační a vydavatelská činnost s tématikou vztahující se";2024-02-29
Domažlice;Záměr města pronajmout hmotnou nemovitou věc č. 8/2024 - část pozemku v k. ú. Babylon;2024-03-08
Domažlice;Oznámení o zveřejnění plánu nákladů a výnosů 2024, střednědobého výhledu na rok 2025-2026 u P.O.;2024-03-11
Domažlice;Oznámení o schválených rozpočtových opatření č. 27/2024 - 38/2024;2024-03-12
Domažlice;Informace o uzavření veřejnoprávních smluv o zabezpečení provedení zápisů údajů do ISUI;2024-03-19
Domažlice;Oznámení o schválených rozpočtových opatření č. 39/2024 - 60/2024;2024-04-04
Domažlice;Stanovení minimálního počtu členů okrskové volební komise;2024-04-04
Domažlice;Poskytnutí informace o počtu a sídle volebních okrsků pro volby do Evropského parlamentu;2024-04-18
Domažlice;Výběrové řízení na obsazení místa jednatele/ky společnosti Domažlická správa nemovitostí spol.s r.o.;2024-04-19
Domažlice;návrh OOP - stan.míst.úprav na PK - označení cyklotrasy a cyklostezky;2024-04-25
Domažlice;návrh OOP - stan.přech.úpravy na VPÚK čerpací stanice MOL Horní Folmava;2024-04-26
Domažlice;Záměr města uzavřít dodatek ke smlouvě o zřízení práva stavby č. 11/2024;2024-04-29
Domažlice;Celkové vyúčtování všech položek výpočtu ceny podle cenových předpisů pro vodné a stočné;2024-04-30
Domažlice;Oznámení o schválených rozpočtových opatření č. 61/2024 - 89/2024;2024-04-30
Domažlice;Veřejná vyhláška, Hromadný předpisný seznam zpřístupněn k nahlédnutí;2024-04-30
Domažlice;Záměr města pronajmout hmotnou nemovitou věc č. 12/2024 - pozemky v k. ú. Havlovice u DO;2024-05-06
Domažlice;Záměr města pronajmout hmotnou nemovitou věc č. 25/2023 - část nebyt.prostor v čp. 40, nám. Míru, DO;2024-05-06
Domažlice;návrh OOP - stan. míst.úpravy na II/184 a III/18415 Prapořiště;2024-05-07
Domažlice;OOP - stan.míst.úpravy na VPÚK Č.Kubice-vyhrazené místo pro tělesně postiž.osobu;2024-05-10
Domažlice;PŘEVZETÍ PÍSEMNOSTI: Chrastavice, DO, veřejné osvětlení;2024-05-13
Domažlice;Stanovení přechodné úpravy provozu - ul. Waldhegerova - stavební práce;2024-05-13
Domažlice;Výběrové řízení na obsazení funkčního místa úředník - referent/ka pro úsek stavebního úřadu;2024-05-13
Domažlice;Oznámení o schválených rozpočtových opatření č. 90/2024 - 99/2024;2024-05-14
Domažlice;Dražební vyhláška o provedení elektronické dražby nemovitých věci č. j. 120 EX 12147/16-310;2024-05-14
Domažlice;Oznámení všem vlastníkům a nájemcům pozemků ve městě Domažlice;2024-05-14
Domažlice;Stanovení přechodné úpravy provozu - ul. Vojtěchova ve městě Domažlice;2024-05-14
Domažlice;OOP - stan.míst.úpravy na III/19363 Domažlice - Benešova ulice;2024-05-15
Domažlice;Stanovení přechodné úpravy provozu - ul. Ladova ve městě Domažlice;2024-05-15
Domažlice;Oznámení o době a místě konání voleb do EP 2024;2024-05-16
Domažlice;Stanovení přechodné úpravy provozu - ul. Kostelní - zásobování materiálem;2024-05-16
Domažlice;Pelechy-obec-decentralni_cisteni+vypousteni_do_PZV,PV_a_VKV-oznameni;2024-05-17
Domažlice;Klenci-oznam_navrhu_OOP-omezeni_odberu_z_vodovodu;2024-05-21
Domažlice;Usilov-oznam_navrhu_OOP-omezeni_odberu_z_vodovodu;2024-05-21
Domažlice;Novy_Kramolin-oznam_navrhu_OOP-omezeni_odberu_z_vodovodu;2024-05-21
Domažlice;Postrekov-oznam_navrhu_OOP-omezeni_odberu_z_vodovodu;2024-05-21
Domažlice;Trhanov-oznam_navrhu_OOP-omezeni_odberu_z_vodovodu;2024-05-21
Domažlice;Chodov-oznam_navrhu_OOP-omezeni_odberu_z_vodovodu;2024-05-21
Domažlice;Mrakov-Obec-schvaleni_kanalizacniho_radu_Smolov-oznameni;2024-05-21
Domažlice;Kolovec-Obec-schvaleni_kanalizacniho_radu-oznameni;2024-05-21
Domažlice;Stanovení přechodné úpravy provozu - ul. náměstí Míru ve městě Domažlice;2024-05-21
Domažlice;VEŘEJNÁ VYHLÁŠKAopatření obecné povahy –stanovení přechodných úprav provozu na pozemních komunikacíc;2024-05-21
Domažlice;VEŘEJNÉ PROJEDNÁNÍ NÁVRHU ZMĚNY č.1 ÚZEMNÍHO PLÁNU SPÁŇOV;2024-05-22
Domažlice;Chodska_Lhota-obec-rekonstrukce_destove_kanalizace-prodlouzeni_platnosti_povoleni-oznameni;2024-05-22
Domažlice;doručení účastníkovi VV: dvojdům Folmava, příjezdová komunikace;2024-05-22
Domažlice;Oznámení o plánovaném přerušení dodávky elektrické energie, 12.6.2024 od 8:00 do 16:00;2024-05-23
Domažlice;řízení - oznámení veřejného projednání návrhu, po podstatné úpravě: Vyhodnocení územního plánu obce;2024-05-23
Domažlice;Smolov-Vojtas_odber_PZV+vrtana_studna-oznameni;2024-05-23
Domažlice;Vydání opatření obecné povahy změnu č.1 územního plánu Všeruby;2024-05-24
Dvůr Králové Nad Labem;Informace o systému EKO-KOM;2008-02-18
Dvůr Králové Nad Labem;Seznam stanovišť kontejnerů na papír, plasty, sklo, kovy a nápojové kartony;2011-08-01
Dvůr Králové Nad Labem;Seznam sběren druhotných surovin;2010-03-01
Dvůr Králové Nad Labem;Seznam stanovišť kontejnerů na drobná elektrozařízení;2011-03-11
Dvůr Králové Nad Labem;Dobrovolné svazky obcí a měst - Královská věnná města - povinně zveřejňované údaje;2017-03-22
Dvůr Králové Nad Labem;Složení komisí Rady města Dvůr Králové nad Labem k 19.11.2021;2021-11-24
Dvůr Králové Nad Labem;Osvědčení o přijetí oznámení o konání veřejné sbírky - Podpora ukrajinských uprchlíků přicházejících na území ORP Dvůr Králové nad Labem;2022-03-25
Dvůr Králové Nad Labem;Smlouva o závazku veřejné služby a podmínkách poskytnutí vyrovnávací platby za plnění závazku veřejné služby - Městská nemocnice, a.s.;2022-03-25
Dvůr Králové Nad Labem;Změna ve složení Osadního výboru Lipnice;2022-03-30
Dvůr Králové Nad Labem;Oznámení o vyhlášení právního předpisu;2022-04-01
Dvůr Králové Nad Labem;Smlouva o závazku veřejné služby a podmínkách poskytnutí vyrovnávací platby za plnění závazku veřejné služby - Městská nemocnice, a.s. (dodatek č.1);2022-06-23
Dvůr Králové Nad Labem;Výbory Zastupitelstva města Dvůr Králové nad Labem ve složení k 09.12.2022;2022-12-13
Dvůr Králové Nad Labem;Smlouva o spolufinancování projektu MAS Královédvorsko - Společně k udržitelnému rozvoji;2023-01-26
Dvůr Králové Nad Labem;Oznámení o vyhlášení právního předpisu - Nařízení č. 1/2023 o placeném parkování na místních komunikacích;2023-02-24
Dvůr Králové Nad Labem;Smlouva o závazku veřejné služby a podmínkách poskytnutí vyrovnávací platby za plnění závazku veřejné služby - Městská nemocnice, a.s.;2023-03-31
Dvůr Králové Nad Labem;Smlouva o poskytnutí finančního daru na vybavení stomatologické ordinace ve městě Dvůr Králové nad Labem;2023-04-18
Dvůr Králové Nad Labem;Komise Rady města Dvůr Králové nad Labem ve složení k  19.05.2023;2023-05-22
Dvůr Králové Nad Labem;Výbory Zastupitelstva města Dvůr Králové nad Labem ve složení k 23.06.2023;2023-06-23
Dvůr Králové Nad Labem;Zveřejnění schváleného závěrečného účtu města Dvůr Králové nad Labem za rok 2022;2023-06-29
Dvůr Králové Nad Labem;Státní pozemkový úřad, Pobočka Trutnov - Pověření ke vstupu a vjezdu na pozemky a k výkonu činnosti související s řízením o jednoduchých pozemkových úpravách v k. ú. Žirecká Podstráň;2023-10-16
Dvůr Králové Nad Labem;Zveřejnění rozpočtu příspěvkových organizací města Dvůr Králové nad Labem na rok 2024;2023-11-28
Dvůr Králové Nad Labem;Zveřejnění střednědobého výhledu rozpočtu příspěvkových organizací města Dvůr Králové nad Labem na roky 2025 - 2026;2023-11-28
Dvůr Králové Nad Labem;Zveřejnění schváleného rozpočtu města Dvůr Králové nad Labem na rok 2024;2023-12-14
Dvůr Králové Nad Labem;Zveřejnění schváleného střednědobého výhledu rozpočtu města Dvůr Králové nad Labem na léta 2025 - 2026;2023-12-14
Dvůr Králové Nad Labem;Výbory Zastupitelstva města Dvůr Králové nad Labem ve složení k 13.12.2023;2023-12-13
Dvůr Králové Nad Labem;Cena pro vodné a stočné v roce 2024;2024-01-02
Dvůr Králové Nad Labem;Vyhlášení dotačního programu na podporu veřejně prospěšných aktivit v roce 2024;2024-01-15
Dvůr Králové Nad Labem;Záměr pachtu části p,p,č, 545/1 a pozemkových parcel č. 7, č. 8 a č. 554, vše v k. ú. Zboží u Dvora Králové  1095 a části pozemkových parcel č. 920, č. 1080, č. 1083, č. 1131, č. 1356, č. 1376, č. 1408, č. 1460, č. 1461, č. 1468, č. 1472, a č. 1480, všech;2024-01-30
Dvůr Králové Nad Labem;Výroční zpráva o činnosti v oblasti poskytování informací podle § 18 zákona č. 106/1999 Sb. za rok 2023;2024-02-19
Dvůr Králové Nad Labem;Zveřejnění schváleného rozpočtu města Dvůr Králové nad Labem na rok 2024 po 1.rozpočtovém opatření;2024-03-08
Dvůr Králové Nad Labem;Exekutorský úřad Brno - město - dražební vyhláška.;2024-04-22
Dvůr Králové Nad Labem;Informace o počtu a sídlech volebních okrsků.;2024-04-23
Dvůr Králové Nad Labem;Smlouva o závazku veřejné služby a podmínkách poskytnutí vyrovnávací platby za plnění závazku veřejné služby - Městská nemocnice, a.s.;2024-04-24
Dvůr Králové Nad Labem;Finanční úřad pro Královéhradecký kraj - veřejná vyhláška.;2024-04-30
Dvůr Králové Nad Labem;Návrh stanovení trvalé místní úpravy provozu  na místní komunikaci v ulici Věžní v k. ú. Dvůr Králové nad Labem, z důvodu zvýšení bezpečnosti procházejících dětí;2024-04-26
Dvůr Králové Nad Labem;Exekutorský úřad Šumperk - dražební vyhláška.;2024-04-29
Dvůr Králové Nad Labem;Exekutorský úřad Šumperk - dražební vyhláška.;2024-04-29
Dvůr Králové Nad Labem;Porovnání všech položek výpočtu (kalkulace) cen pro vodné a stočné za kalendářní rok 2023 a dosažené skutečnosti v témže roce;2024-04-30
Dvůr Králové Nad Labem;Konkurs na obsazení pozice ředitele/ředitelky Mateřské školy, Dvůr Králové nad Labem, Drtinova 1444;2024-05-06
Dvůr Králové Nad Labem;Oznámení o návrhu opatření obecné povahy  stanovení trvalé místní úpravy provozu na pozemní komunikaci v ul. Nad Parkem před domem s č. p. 2831 k vyznačení vyhrazeného parkovacího místa pro držitele ZTP průkazu;2024-05-07
Dvůr Králové Nad Labem;Oznámení o konání prvního zasedání okrskových volebních komisí;2024-05-09
Dvůr Králové Nad Labem;Opatření obecné povahy  stanovení přechodné úpravy provozu na místní komunikaci a na nám. Václava Hanky v k. ú. Dvůr Králové z důvodu konání řemeslného Flerjarmarku;2024-05-13
Dvůr Králové Nad Labem;Upozornění na odstávku elektřiny dne 03. 06. 2024.;2024-05-13
Dvůr Králové Nad Labem;"Oznámení ""Komunikace k čp. 80,81,82 v obci Kohoutov""";2024-05-14
Dvůr Králové Nad Labem;Návrh stanovení trvalé místní úpravy provozu na místní komunikaci 19c na p. č. 441/14 v obci Třebihošť v místní části Horní Dehtov, z důvodu chybějícího dopravního značení.;2024-05-16
Dvůr Králové Nad Labem;Návrh stanovení trvalé místní úpravy provozu umístění 2ks krátkých příčných prahů na místní komunikaci 19c na p. č. 441/14 v obci Třebihošť v místní části Horní Dehtov. Z důvodu zvýšení bezpečnosti.;2024-05-16
Dvůr Králové Nad Labem;Výběrové řízení na obsazení pozice odborného referenta/odborné referentky – správa a údržba bytových domů v majetku města odboru ekonomiky a majetku města;2024-05-16
Dvůr Králové Nad Labem;Upozornění na odstávku elektřiny dne 05. 06. 2024.;2024-05-17
Dvůr Králové Nad Labem;Zveřejnění dodatku č. 1 k veřejnoprávní smlouvě č. KTÚ/VERJ-2018/830 - stacionární měřič rychlosti - Kocbeře;2024-05-17
Dvůr Králové Nad Labem;Zveřejnění dodatku č. 1 k veřejnoprávní smlouvě č. KTÚ/VERJ-2018/548 - stacionární měřič rychlosti - Choustníkovo Hradiště;2024-05-17
Dvůr Králové Nad Labem;Komise Rady města Dvůr Králové nad Labem ve složení k 16.05.2024;2024-05-20
Dvůr Králové Nad Labem;50. RM z 16.05.2024;2024-05-20
Dvůr Králové Nad Labem;Oznámení o zahájení stavebního řízení  - D11 1108 Jaroměř – Trutnov, DSP – vodohospodářské objekty;2024-05-20
Dvůr Králové Nad Labem;Exekutorský úřad Olomouc - dražební vyhláška.;2024-05-21
Dvůr Králové Nad Labem;Veřejná vyhláška - rozhodnutí - úprava splaškové kanalizace v k. ú. Kohoutov;2024-05-21
Dvůr Králové Nad Labem;Veřejná vyhláška - rozhodnutí - úprava splaškové kanalizace v k. ú. Kohoutov;2024-05-21
Dvůr Králové Nad Labem;Oznámení o návrhu opatření obecné povahy  stanovení trvalé místní úpravy provozu na silnici č. III/30012 v k.ú. Bílá Třemešná od místní části Nové Lesy po provedené rekonstrukci chodníku a zřízení přechodu pro chodce;2024-05-21
Dvůr Králové Nad Labem;Návrh závěrečného účtu města Dvůr Králové nad Labem za rok 2023;2024-05-24
Dvůr Králové Nad Labem;"Oznámení o zahájení řízení o dodatečném povolení stavby a pozvání k ústnímu jednání ""Zahrádková chata na p.p.č. 1107/11""";2024-05-22
Dvůr Králové Nad Labem;"Oznámení o zahájení společného řízení ""Chodník v Bílých Poličanech""";2024-05-23
Dvůr Králové Nad Labem;Upozornění na odstávku elektřiny dne 11. 06. 2024.;2024-05-23
Dvůr Králové Nad Labem;51. RM z 23.05.2024;2024-05-24
Dvůr Králové Nad Labem;Oznámení o návrhu opatření obecné povahy stanovení trvalé místní úpravy provozu na místní komunikaci u mateřské školy v Lipnici u Dvora králové nad Labem;2024-05-24
Frýdlant Nad Ostravicí;Výzva k odstranění nedostatků podání;2024-05-23
Frýdlant Nad Ostravicí;ZMĚNA TERMÍNU do 31. 5. 2024 pro podání přihlášek do výběrového řízení;2024-05-23
Frýdlant Nad Ostravicí;Volby do Evropského parlamentu;2024-05-21
Frýdlant Nad Ostravicí;Schválené rozpočtové opatření k rozpočtu Města Frýdlant n. O.;2024-05-16
Frýdlant Nad Ostravicí;Usnesení Rady Města Frýdlant nad Ostravicí;2024-05-15
Frýdlant Nad Ostravicí;Rozhodnutí;2024-05-15
Frýdlant Nad Ostravicí;Oznámení o konání akce;2024-05-14
Frýdlant Nad Ostravicí;ZMĚNA TERMÍNU pro podání přihlášek do výběrového řízení  - do 27. 5. 2024;2024-05-13
Frýdlant Nad Ostravicí;Veřejná vyhláška o možnosti převzít písemnost;2024-05-10
Frýdlant Nad Ostravicí;Usnesení o přerušení řízení;2024-05-09
Frýdlant Nad Ostravicí;Schválené rozpočtové opatření k rozpočtu Města Frýdlant n. O.;2024-05-06
Frýdlant Nad Ostravicí;Usnesení Rady města Frýdlant nad Ostravicí;2024-05-02
Frýdlant Nad Ostravicí;VEŘEJNÁ VYHLÁŠKA;2024-05-02
Frýdlant Nad Ostravicí;DAŇ Z NEMOVITÝCH VĚCÍ NA ROK 2024;2024-04-30
Frýdlant Nad Ostravicí;Záměr prodeje bytu - obálkovou metodou;2024-04-30
Frýdlant Nad Ostravicí;Informace o počtu a sídlech volebních okrsků;2024-04-26
Frýdlant Nad Ostravicí;Schválené rozpočtové opatření k rozpočtu Města Frýdlant n. O.;2024-04-16
Frýdlant Nad Ostravicí;Zájmové sdružení Frýdlantsko - Beskydy;2024-04-10
Frýdlant Nad Ostravicí;Nálezy;2024-03-26
Frýdlant Nad Ostravicí;Schválené rozpočtové opatření k rozpočtu Města Frýdlant nad Ostravicí;2024-03-20
Frýdlant Nad Ostravicí;Zájmové sdružení Frýdlantsko - Beskydy;2024-03-18
Frýdlant Nad Ostravicí;Veřejnoprávní smlouva o poskytnutí dotace;2024-03-06
Frýdlant Nad Ostravicí;Schválená rozpočtová opatření;2024-03-04
Frýdlant Nad Ostravicí;Svazek obcí Čistá Odra;2023-12-21
Frýdlant Nad Ostravicí;Rozpočet na rok 2024 a střednědobé výhledy rozpočtů na r. 2025 - 2026;2024-01-09
Frýdlant Nad Ostravicí;Rozpočet na rok 2024 a střednědobé výhledy rozpočtů na r. 2025 - 2026;2024-01-09
Frýdlant Nad Ostravicí;Místní poplatky Města Frýdlant nad Ostravicí;2024-01-02
Frýdlant Nad Ostravicí;Schválené střednědobé výhledy rozpočtů Města Frýdlant nad Ostravicí;2023-12-28
Frýdlant Nad Ostravicí;Schválený rozpočet Města Frýdlant nad Ostravicí;2023-12-28
Frýdlant Nad Ostravicí;Oznámení ceny stočného od 1. 1. 2024;2023-12-27
Frýdlant Nad Ostravicí;Nálezy;2023-12-19
Frýdlant Nad Ostravicí;Schválení Závěrečného účtu města Frýdlant nad Ostravicí;2023-06-29
Frýdlant Nad Ostravicí;Závěrečný účet za rok 2022;2023-05-29
Frýdlant Nad Ostravicí;Nálezy;2023-03-15
Frýdlant Nad Ostravicí;Nálezy;2022-06-14
Frýdlant Nad Ostravicí;Veřejnoprávní smlouva o poskytnutí dotace;2022-01-13
Frýdlant Nad Ostravicí;NÁLEZY;2021-09-30
Frýdlant Nad Ostravicí;Přehled veřejnoprávních smluv;2021-09-17
Frýdlant Nad Ostravicí;Přehled veřejnoprávních smluv;2021-06-17
Frýdlant Nad Ostravicí;Uzavřené veřejnoprávní smlouvy na úseku přestupků;2018-02-09
Hlučín;Informace o provozu podatelny a podmínkách přijímání dokumentů podle § 2 odst. 3 vyhlášky č. 259/2012 Sb., o podrobnostech výkonu spisové služby;2015-01-07
Hlučín;PRŮKAZ ENERGETICKÉ NÁROČNOSTI BUDOVY;2013-07-11
Hlučín;SOH - Oznámení o vyvěšení dokumentů;2019-01-07
Hlučín;OZNÁMENÍ - střednědobý výhled rozpočtu města Hlučína;2018-01-10
Hlučín;"Zásady realizace projektu participativní rozpočet 2019  ""JE TO NA VÁS""";2019-03-07
Hlučín;Zveřejnění záměru - pronájem části pozemků parc. č. 3071/105 a 3071/90 ulice Okrajová , Hlučín;2019-04-11
Hlučín;Zásady pro poskytnutí bezúročné finanční zápůjčky z rozpočtu města Hlučína (Kotlíkové dotace v Moravskoslezském kraji - 3. výzva);2019-06-07
Hlučín;SPÚ Opava - Pověření ke vstupu a vjezdu na poz. a k výkonu činnosti - komplexní poz. úpravy v k. ú. Darkovičky a části k. ú. Hlučín;2022-01-14
Hlučín;Zveřejnění záměru - úprava výše nájemného lokalita ul. Na Valech v Hlučíně;2022-02-09
Hlučín;Zveřejnění záměru - výpůjčit spolku Dětský ranč Hlučín z.s. část poz. parc. č. 1444/1 a poz. parc. č. 1444/29 v k.ú. Hlučín;2022-03-09
Hlučín;Zveřejnění záměru - pronajmout část pozemku  parc. č. 2088/49 a část poz. parc. č. 2088/318 v k.ú. Hlučín;2022-11-23
Hlučín;Oznámení SOMH;2022-11-29
Hlučín;Oznámení k střednědobým výhledům rozpočtů a rozpočtům příspěvkových organizací města Hlučína;2022-11-30
Hlučín;Zveřejnění záměru - pronajmout část nebyt. prostor v bud. čp. 394 v Hlučíně Bobrovníky - Pošta Partner;2023-02-13
Hlučín;Zveřejnění záměru - pronajmout část poz. parc. č. 2950/2 v k. ú. Hlučín - umístění reklamního banneru;2023-02-13
Hlučín;Zveřejnění záměru - změnit nájemní smlouvu č. 2021/1/000094/SML-5-17/2021/Pa-2021;2023-02-13
Hlučín;Zveřejnění záměru - směnit část poz. parc.č. 1608/51 v k.ú. Hlučín za část poz. parc.č. 1706/2 v k.ú. Hlučín - Přemístění autob. zastávky na ul. Čs.armády;2023-02-22
Hlučín;ZVEŘEJNĚNÍ ZÁMĚRU MĚSTA HLUČÍNA - pronajmout část neb. prostor č.p. 1915 v k.ú. Hlučín - provozování bufetu;2023-03-27
Hlučín;SPU Pověření ke vstupu a vjezdu na pozemky a k výkonu činnosti - komplexní pozem. úpravy v katast. území Darkovičky a části katast. ú. Hlučín;2023-04-13
Hlučín;Volby do Evropského parlamentu konané ve dnech 7. a 8. června 2024 - počet a sídlo volebních okrsků;2024-04-18
Hlučín;Zveřejnění záměru - prodat pozemek parc. č. 45/1 v k. ú. Hlučín o výměře 64 m2;2023-09-14
Hlučín;Zveřejnění záměru - pronajmout části poz. parc.č. 1608/18 a parc.č. 1608/19 v k.ú. Hlučín - umístění garáží;2023-10-18
Hlučín;Záměr - vypůjčit Dětskému ranči v Hlučín z.s. soubor dočasných staveb a movitých věcí;2023-12-07
Hlučín;MSK - Rozhodnutí o udělení souhlasu - obec Vřesina;2024-02-01
Hlučín;MSK - Rozhodnutí o udělení souhlasu - obec Kozmice;2024-02-01
